,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,FB,FB,FB,FB,FB,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,NFLX,NFLX,NFLX,NFLX,NFLX
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-19 00:00:00-04:00,156.75,157.08,155.02,155.98,32669974,990.33,991.05,980.24,986.6,1963364,174.71,174.99,172.63,174.56,11501995,1004.75,1007.32,997.3,1001.83,1057459,193.01,195.25,191.16,195.1,5549365
2017-10-20 00:00:00-04:00,156.61,157.75,155.96,156.25,18427186,993.53,994.62,982.0,982.91,1406057,175.48,175.88,174.63,174.97,8975639,1007.05,1008.65,1002.27,1005.09,881271,195.85,196.38,193.77,194.056,4539365
2017-10-23 00:00:00-04:00,156.89,157.69,155.5,156.2,16418890,986.73,986.775,962.5,966.34,2341953,175.26,175.34,171.25,171.28,11650968,1005.18,1005.71,983.1,985.54,964752,194.17,194.8999,191.0346,192.47,5408928
2017-10-24 00:00:00-04:00,156.29,157.42,156.2,157.09,14016780,969.0,979.85,965.0,976.0,1744834,172.3,173.24,171.5,171.8,9429036,986.5,989.26,977.08,988.5,752762,192.75,196.735,191.4,196.05,5796323
2017-10-25 00:00:00-04:00,156.91,157.55,155.27,156.41,16016689,978.0,984.44,966.24,972.91,2001000,171.9,172.25,168.89,170.6,11643016,986.21,994.43,977.722,991.47,875898,195.42,197.055,193.01,193.77,4120234
2017-10-26 00:00:00-04:00,157.23,157.8295,156.78,157.42,12374254,980.33,982.9,968.55,972.54,2373669,171.52,172.285,170.39,170.6,7344780,998.47,1006.51,990.47,991.42,1021604,194.66,197.61,194.08,195.21,4140148
2017-10-27 00:00:00-04:00,159.29,163.6,158.7,163.03,36735155,1057.03,1105.58,1050.55,1100.99,11137045,174.22,178.21,173.9,177.77,24981763,1030.99,1063.62,1026.85,1033.89,3193718,197.2,200.65,196.22,199.52,6527285
2017-10-30 00:00:00-04:00,163.89,168.07,163.72,166.72,37107049,1095.42,1122.79,1093.56,1110.85,4459741,179.26,180.69,177.61,179.84,20127670,1028.59,1039.83,1022.33,1032.56,1391522,199.62,201.099,197.0721,198.31,4222673
2017-10-31 00:00:00-04:00,167.9,169.6499,166.94,169.05,28536890,1109.0,1110.54,1101.12,1105.67,2289196,180.57,180.8,178.94,180.07,16373536,1033.0,1041.0,1026.3,1033.05,884530,198.21,198.59,195.218,196.43,4197624
2017-11-01 00:00:00-04:00,169.87,169.94,165.61,166.87,27873344,1105.4,1108.97,1096.74,1103.5,2493594,182.31,182.9,180.57,182.5755,24768050,1035.92,1047.86,1034.0,1042.52,1237554,197.24,199.199,196.0,197.99,4004807
2017-11-02 00:00:00-04:00,167.64,168.5,165.28,168.07,27624141,1097.81,1101.94,1086.87,1094.0,2529218,180.63,181.94,177.34,178.91,28149715,1039.99,1045.52,1028.66,1042.95,725275,197.45,199.44,197.0901,199.35,2813960
2017-11-03 00:00:00-04:00,174.0,174.26,171.12,172.48,48908582,1090.7,1112.68,1088.52,1111.55,2480553,179.19,179.86,176.71,178.92,14716941,1042.75,1050.66,1037.65,1049.54,766442,199.8,200.55,197.99,200.01,2822860
2017-11-06 00:00:00-05:00,172.365,174.99,171.72,174.32,27765449,1109.15,1125.41,1108.77,1120.46,2163474,178.56,180.45,178.31,180.17,11046281,1049.1,1052.59,1042.0,1042.44,520588,200.0,202.48,198.09,200.13,4439285
2017-11-07 00:00:00-05:00,173.91,175.25,173.6,174.79,19694604,1124.74,1130.6,1117.5,1123.14,1781040,180.5,180.7478,178.96,180.25,10151151,1049.65,1053.41,1043.0,1052.39,712777,200.0,200.61,194.8,195.809,5103026
2017-11-08 00:00:00-05:00,174.66,176.24,174.33,176.24,18728731,1122.23,1135.54,1119.11,1132.86,1687417,179.79,180.35,179.11,179.56,7998753,1049.83,1062.69,1047.05,1058.59,668520,195.93,197.09,194.74,196.42,3266228
2017-11-09 00:00:00-05:00,175.28,176.095,173.14,175.87,23800788,1127.41,1129.62,1115.77,1129.0,2301337,178.28,179.4,177.09,179.3,9921664,1048.0,1050.88,1035.85,1047.54,1093404,194.46,194.49,190.81,193.89,4052164
2017-11-10 00:00:00-05:00,175.11,175.38,174.27,174.66,15442963,1125.5,1131.75,1124.06,1125.34,1384133,178.35,179.0999,177.96,178.455,7922843,1043.87,1046.63,1041.22,1044.14,531162,191.52,192.59,189.5,191.93,5262989
2017-11-13 00:00:00-05:00,173.5,174.5,173.4,173.98,13706923,1123.0,1139.9,1122.34,1129.21,1977018,177.49,179.04,177.3,178.78,6441523,1040.8,1048.74,1039.26,1041.2,470665,191.12,196.05,191.021,195.09,3286703
2017-11-14 00:00:00-05:00,173.04,173.48,171.18,171.34,20215643,1130.11,1138.0,1123.89,1136.84,2112409,178.13,178.97,177.18,178.06,7704943,1037.72,1042.3,1029.33,1041.69,523989,193.64,195.88,193.0,195.69,2536978
